Player,FPTS,ROST,Year,Week
K.J. Osborn (WAS),13.3,1.5%,2022,3
Christian Kirk (JAC),13.2,44.7%,2022,3
Russell Gage (SF),12.7,0.0%,2022,3
Cooper Kupp (LAR),12.4,96.0%,2022,3
DK Metcalf (SEA),12.4,96.7%,2022,3
Adam Thielen (CAR),12.1,70.1%,2022,3
Drake London (ATL),11.4,98.4%,2022,3
Jaylen Waddle (MIA),11.1,83.9%,2022,3
Tre'Quan Smith (FA),10.5,0.0%,2022,3
Allen Lazard (NYJ),10.5,9.6%,2022,3
Terry McLaurin (WAS),10.2,94.2%,2022,3
Joshua Palmer (LAC),9.9,14.8%,2022,3
Brandon Aiyuk (SF),9.9,53.8%,2022,3
Courtland Sutton (DEN),9.7,90.3%,2022,3
Josh Reynolds (JAC),9.6,4.4%,2022,3
Tee Higgins (CIN),9.3,95.3%,2022,3
Marvin Jones Jr. (FA),9.3,0.0%,2022,3
Davante Adams (NYJ),9.2,98.9%,2022,3
JuJu Smith-Schuster (KC),8.9,3.8%,2022,3
Robert Woods (HOU),8.5,0.7%,2022,3
Diontae Johnson (FA),8.4,51.5%,2022,3
Devin Duvernay (JAC),8.3,0.2%,2022,3
Greg Dortch (ARI),8.0,6.2%,2022,3
Deebo Samuel Sr. (SF),7.9,94.2%,2022,3
Tyler Lockett (SEA),7.6,46.2%,2022,3
Mike Williams (PIT),7.5,13.6%,2022,3
Stefon Diggs (HOU),7.4,37.5%,2022,3
Amon-Ra St. Brown (DET),7.3,99.7%,2022,3
Michael Pittman Jr. (IND),7.2,81.0%,2022,3
River Cracraft (MIA),7.1,0.1%,2022,3
Ja'Marr Chase (CIN),6.7,99.7%,2022,3
Ben Skowronek (PIT),6.6,0.0%,2022,3
Jalen Guyton (FA),6.4,0.0%,2022,3
Marquez Callaway (TB),6.4,0.0%,2022,3
Equanimeous St. Brown (FA),6.3,0.0%,2022,3
Chris Moore (WAS),6.3,0.0%,2022,3
Alec Pierce (IND),6.1,21.8%,2022,3
Curtis Samuel (BUF),6.1,10.4%,2022,3
Garrett Wilson (NYJ),6.0,98.8%,2022,3
Kendrick Bourne (NE),5.8,2.0%,2022,3
Randall Cobb (FA),5.7,0.0%,2022,3
Noah Brown (WAS),5.4,3.7%,2022,3
Michael Thomas (FA),4.9,0.7%,2022,3
Elijah Moore (CLE),4.9,20.7%,2022,3
Olamide Zaccheaus (WAS),4.9,3.8%,2022,3
Sterling Shepard (TB),4.9,6.4%,2022,3
Marquez Valdes-Scantling (NO),4.8,25.7%,2022,3
DJ Chark Jr. (LAC),4.6,2.4%,2022,3
Chase Claypool (FA),4.6,1.0%,2022,3
Nico Collins (HOU),4.1,98.8%,2022,3
Richie James Jr. (FA),4.0,0.0%,2022,3
Nick Westbrook-Ikhine (TEN),4.0,27.4%,2022,3
Rashod Bateman (BAL),3.9,26.5%,2022,3
George Pickens (PIT),3.9,93.4%,2022,3
Gabe Davis (JAC),3.7,20.5%,2022,3
Tyreek Hill (MIA),3.3,99.2%,2022,3
Marquise Goodwin (FA),3.1,0.0%,2022,3
Brandon Powell (MIN),2.7,0.1%,2022,3
Kendall Hinton (FA),2.7,0.0%,2022,3
Corey Davis (FA),2.7,0.0%,2022,3
DeAndre Carter (CHI),2.6,0.1%,2022,3
Jaelon Darden (SEA),2.5,0.0%,2022,3
Breshad Perriman (FA),2.4,0.0%,2022,3
Allen Robinson II (DET),2.3,0.1%,2022,3
Darnell Mooney (ATL),2.3,70.5%,2022,3
Jarvis Landry (FA),2.2,7.1%,2022,3
Shi Smith (FA),2.2,0.0%,2022,3
Brandin Cooks (DAL),2.2,25.4%,2022,3
Treylon Burks (TEN),2.1,1.4%,2022,3
Nelson Agholor (BAL),2.1,0.4%,2022,3
David Sills (ATL),2.0,0.0%,2022,3
Zach Pascal (ARI),1.8,0.0%,2022,3
Jerry Jeudy (CLE),1.7,75.9%,2022,3
Jamal Agnew (FA),1.7,0.0%,2022,3
DJ Moore (CHI),1.5,94.8%,2022,3
Penny Hart (FA),1.5,0.0%,2022,3
Phillip Dorsett II (ATL),1.5,0.0%,2022,3
Justin Jefferson (MIN),1.4,99.8%,2022,3
Jake Kumerow (FA),1.4,0.0%,2022,3
Robbie Chosen (FA),1.4,0.0%,2022,3
Andre Baccellia (ARI),1.3,0.0%,2022,3
Keelan Cole Sr. (FA),1.2,0.0%,2022,3
Simi Fehoko (LAC),1.2,1.0%,2022,3
Cole Beasley (FA),1.2,0.0%,2022,3
Dax Milne (CAR),1.2,0.0%,2022,3
Ray-Ray McCloud III (ATL),1.1,19.3%,2022,3
Andy Isabella (FA),1.1,0.0%,2022,3
Byron Pringle (FA),1.1,0.0%,2022,3
Parris Campbell (PHI),1.0,0.0%,2022,3
Donovan Peoples-Jones (FA),1.0,0.0%,2022,3
Jahan Dotson (PHI),1.0,7.0%,2022,3
Jamison Crowder (WAS),0.9,0.1%,2022,3
Ashton Dulin (IND),0.7,0.0%,2022,3
David Bell (CLE),0.6,0.0%,2022,3
Jauan Jennings (SF),0.5,80.0%,2022,3
Trent Sherfield Sr. (MIN),0.5,0.1%,2022,3
Jalen Tolbert (DAL),0.4,10.6%,2022,3
Scotty Miller (FA),0.4,0.1%,2022,3
Kalif Raymond (DET),0.4,0.9%,2022,3
Jalen Reagor (LAC),0.2,0.0%,2022,3
Mecole Hardman Jr. (KC),0.2,0.2%,2022,3
KJ Hamler (BUF),0.0,0.0%,2022,3
Gunner Olszewski (NYG),0.0,0.0%,2022,3
Quez Watkins (ARI),0.0,0.0%,2022,3
Quintez Cephus (LAR),0.0,0.0%,2022,3
Miles Boykin (FA),0.0,0.0%,2022,3
Stanley Morgan Jr. (TEN),0.0,0.0%,2022,3
Lil'Jordan Humphrey (DEN),0.0,1.0%,2022,3
KaVontae Turpin (DAL),0.0,2.8%,2022,3
Cody Thompson (TB),0.0,0.0%,2022,3
Juwann Winfree (IND),0.0,0.0%,2022,3
Amari Rodgers (FA),0.0,0.0%,2022,3
Tutu Atwell (LAR),0.0,2.7%,2022,3
Dyami Brown (WAS),0.0,0.7%,2022,3
Tim Jones (JAC),0.0,0.0%,2022,3
Jacob Harris (FA),0.0,0.0%,2022,3
Britain Covey (PHI),0.0,0.1%,2022,3
Montrell Washington (KC),0.0,0.0%,2022,3
A.J. Green (FA),0.0,0.6%,2022,3
Kenny Golladay (FA),0.0,4.0%,2022,3
Trent Taylor (SF),0.0,0.0%,2022,3
Dante Pettis (NO),0.0,0.1%,2022,3
Justin Watson (KC),0.0,0.7%,2022,3
Chester Rogers (FA),0.0,0.0%,2022,3
Demarcus Robinson (LAR),0.0,26.0%,2022,3
Braxton Berrios (MIA),-0.2,0.2%,2022,3
Skyy Moore (KC),-2.0,0.1%,2022,3
Mike Evans (TB),22.3,98.6%,2022,4
Justin Jefferson (MIN),21.0,99.8%,2022,4
Tee Higgins (CIN),18.4,95.3%,2022,4
Deebo Samuel Sr. (SF),17.7,94.2%,2022,4
Jamal Agnew (FA),17.0,0.0%,2022,4
Tyreek Hill (MIA),15.9,99.2%,2022,4
CeeDee Lamb (DAL),15.7,93.2%,2022,4
DK Metcalf (SEA),14.9,96.7%,2022,4
Marquise Brown (KC),14.8,33.2%,2022,4
Josh Reynolds (JAC),14.1,4.4%,2022,4
Corey Davis (FA),13.4,0.0%,2022,4
Chris Olave (NO),12.7,77.8%,2022,4
Cooper Kupp (LAR),12.2,96.0%,2022,4
Mike Williams (PIT),12.0,13.6%,2022,4
Brandin Cooks (DAL),11.7,25.4%,2022,4
Allen Lazard (NYJ),11.6,9.6%,2022,4
Jerry Jeudy (CLE),11.3,75.9%,2022,4
Courtland Sutton (DEN),11.2,90.3%,2022,4
Davante Adams (NYJ),10.5,98.9%,2022,4
Jahan Dotson (PHI),10.3,7.0%,2022,4
George Pickens (PIT),10.2,93.4%,2022,4
A.J. Brown (PHI),9.5,98.7%,2022,4
Darnell Mooney (ATL),9.4,70.5%,2022,4
Robert Woods (HOU),9.0,0.7%,2022,4
Romeo Doubs (GB),8.7,47.8%,2022,4
Michael Gallup (FA),8.4,0.0%,2022,4
DeVante Parker (FA),8.4,0.0%,2022,4
Christian Watson (GB),8.3,57.1%,2022,4
Nico Collins (HOU),8.2,98.8%,2022,4
Ja'Marr Chase (CIN),8.1,99.7%,2022,4
Isaiah McKenzie (FA),8.1,0.0%,2022,4
Alec Pierce (IND),8.0,21.8%,2022,4
Adam Thielen (CAR),7.2,70.1%,2022,4
Tyler Lockett (SEA),7.1,46.2%,2022,4
Donovan Peoples-Jones (FA),7.1,0.0%,2022,4
Christian Kirk (JAC),6.3,44.7%,2022,4
Marquez Valdes-Scantling (NO),6.3,25.7%,2022,4
Stefon Diggs (HOU),6.2,37.5%,2022,4
DJ Moore (CHI),6.1,94.8%,2022,4
Noah Brown (WAS),6.1,3.7%,2022,4
Chris Godwin (TB),5.9,36.7%,2022,4
Tyler Boyd (TEN),5.6,3.1%,2022,4
Olamide Zaccheaus (WAS),5.5,3.8%,2022,4
Trent Sherfield Sr. (MIN),5.5,0.1%,2022,4
KJ Hamler (BUF),5.5,0.0%,2022,4
Elijah Moore (CLE),5.5,20.7%,2022,4
Tom Kennedy (DET),5.4,0.0%,2022,4
Marquez Callaway (TB),5.3,0.0%,2022,4
Devin Duvernay (JAC),5.1,0.2%,2022,4
Michael Bandy (DEN),4.9,0.0%,2022,4
Braxton Berrios (MIA),4.7,0.2%,2022,4
Nelson Agholor (BAL),4.6,0.4%,2022,4
JuJu Smith-Schuster (KC),4.6,3.8%,2022,4
Parris Campbell (PHI),4.3,0.0%,2022,4
Randall Cobb (FA),4.2,0.0%,2022,4
Garrett Wilson (NYJ),4.1,98.8%,2022,4
Jaylen Waddle (MIA),3.9,83.9%,2022,4
Kendall Hinton (FA),3.9,0.0%,2022,4
Curtis Samuel (BUF),3.8,10.4%,2022,4
Kendrick Bourne (NE),3.8,2.0%,2022,4
Brandon Aiyuk (SF),3.7,53.8%,2022,4
David Bell (CLE),3.5,0.0%,2022,4
Ben Skowronek (PIT),3.3,0.0%,2022,4
Mack Hollins (BUF),3.3,0.8%,2022,4
Michael Pittman Jr. (IND),3.1,81.0%,2022,4
Skyy Moore (KC),3.1,0.1%,2022,4
Jarvis Landry (FA),2.7,7.1%,2022,4
Robbie Chosen (FA),2.6,0.0%,2022,4
Joshua Palmer (LAC),2.5,14.8%,2022,4
Russell Gage (SF),2.4,0.0%,2022,4
Khalil Shakir (BUF),2.3,78.3%,2022,4
Diontae Johnson (FA),2.2,51.5%,2022,4
Jauan Jennings (SF),2.2,80.0%,2022,4
Kalif Raymond (DET),2.1,0.9%,2022,4
Ashton Dulin (IND),1.8,0.0%,2022,4
Tre'Quan Smith (FA),1.8,0.0%,2022,4
Treylon Burks (TEN),1.8,1.4%,2022,4
Rashod Bateman (BAL),1.7,26.5%,2022,4
DeVonta Smith (PHI),1.7,92.6%,2022,4
Drake London (ATL),1.7,98.4%,2022,4
Dee Eskridge (MIA),1.6,0.0%,2022,4
Terry McLaurin (WAS),1.5,94.2%,2022,4
Quintez Cephus (LAR),1.5,0.0%,2022,4
Gabe Davis (JAC),1.3,20.5%,2022,4
Jalen Nailor (MIN),1.3,9.1%,2022,4
Brandon Powell (MIN),1.1,0.1%,2022,4
Darius Slayton (NYG),1.1,7.5%,2022,4
Demarcus Robinson (LAR),1.0,26.0%,2022,4
Equanimeous St. Brown (FA),0.9,0.0%,2022,4
Amari Cooper (BUF),0.9,79.7%,2022,4
Lil'Jordan Humphrey (DEN),0.9,1.0%,2022,4
Rondale Moore (ATL),0.7,0.8%,2022,4
Allen Robinson II (DET),0.7,0.1%,2022,4
Jamison Crowder (WAS),0.7,0.1%,2022,4
Julio Jones (FA),0.7,0.3%,2022,4
Ray-Ray McCloud III (ATL),0.6,19.3%,2022,4
Dyami Brown (WAS),0.6,0.7%,2022,4
Greg Dortch (ARI),0.6,6.2%,2022,4
David Sills (ATL),0.5,0.0%,2022,4
K.J. Osborn (WAS),0.5,1.5%,2022,4
Cole Beasley (FA),0.5,0.0%,2022,4
Montrell Washington (KC),0.4,0.0%,2022,4
Mecole Hardman Jr. (KC),0.4,0.2%,2022,4
Dax Milne (CAR),0.0,0.0%,2022,4
Jaelon Darden (SEA),0.0,0.0%,2022,4
Gunner Olszewski (NYG),0.0,0.0%,2022,4
Jalen Reagor (LAC),0.0,0.0%,2022,4
Laviska Shenault Jr. (FA),0.0,0.1%,2022,4
KaVontae Turpin (DAL),0.0,2.8%,2022,4
Chase Claypool (FA),0.0,1.0%,2022,4
Tyron Billy-Johnson (FA),0.0,0.0%,2022,4
Jeff Smith (FA),0.0,0.0%,2022,4
Amari Rodgers (FA),0.0,0.0%,2022,4
Shi Smith (FA),0.0,0.0%,2022,4
Quez Watkins (ARI),0.0,0.0%,2022,4
Ihmir Smith-Marsette (NYG),0.0,0.1%,2022,4
Michael Strachan (WAS),0.0,0.0%,2022,4
Tim Jones (JAC),0.0,0.0%,2022,4
Kyle Philips (PHI),0.0,0.0%,2022,4
Maurice Alexander (CHI),0.0,0.0%,2022,4
Britain Covey (PHI),0.0,0.1%,2022,4
Marquise Goodwin (FA),0.0,0.0%,2022,4
Marvin Jones Jr. (FA),0.0,0.0%,2022,4
Matthew Slater (FA),0.0,0.0%,2022,4
Zach Pascal (ARI),0.0,0.0%,2022,4
Keelan Cole Sr. (FA),0.0,0.0%,2022,4
Justin Hardee Sr. (TEN),0.0,0.0%,2022,4
Kenny Golladay (FA),0.0,4.0%,2022,4
Trent Taylor (SF),0.0,0.0%,2022,4
KhaDarel Hodge (ATL),0.0,0.1%,2022,4
Malik Turner (FA),0.0,0.0%,2022,4
River Cracraft (MIA),0.0,0.1%,2022,4
Dante Pettis (NO),0.0,0.1%,2022,4
Justin Watson (KC),0.0,0.7%,2022,4
Damiere Byrd (FA),0.0,0.0%,2022,4
Phillip Dorsett II (ATL),0.0,0.0%,2022,4
Chris Moore (WAS),0.0,0.0%,2022,4
DeAndre Carter (CHI),-0.4,0.1%,2022,4
Richie James Jr. (FA),-1.1,0.0%,2022,4
Deonte Harty (BAL),-2.0,0.1%,2022,4
Velus Jones Jr. (CAR),-2.0,0.1%,2022,4
Gabe Davis (JAC),29.1,20.5%,2022,5
Davante Adams (NYJ),24.4,98.9%,2022,5
Dyami Brown (WAS),22.5,0.7%,2022,5
Tyler Lockett (SEA),22.4,46.2%,2022,5
Cooper Kupp (LAR),18.9,96.0%,2022,5
Justin Jefferson (MIN),18.3,99.8%,2022,5
Jakobi Meyers (LV),17.1,71.1%,2022,5
Stefon Diggs (HOU),16.2,37.5%,2022,5
Marquise Brown (KC),13.8,33.2%,2022,5
Amari Cooper (BUF),13.6,79.7%,2022,5
Khalil Shakir (BUF),13.5,78.3%,2022,5
Mike Williams (PIT),13.4,13.6%,2022,5
DK Metcalf (SEA),12.8,96.7%,2022,5
Chris Olave (NO),11.4,77.8%,2022,5
Marvin Jones Jr. (FA),10.4,0.0%,2022,5
Randall Cobb (FA),9.9,0.0%,2022,5
Olamide Zaccheaus (WAS),9.9,3.8%,2022,5
Allen Lazard (NYJ),9.5,9.6%,2022,5
Deebo Samuel Sr. (SF),9.2,94.2%,2022,5
Josh Reynolds (JAC),9.2,4.4%,2022,5
Marquez Valdes-Scantling (NO),9.0,25.7%,2022,5
DeVonta Smith (PHI),8.7,92.6%,2022,5
George Pickens (PIT),8.3,93.4%,2022,5
Mike Evans (TB),8.1,98.6%,2022,5
Alec Pierce (IND),8.1,21.8%,2022,5
Mecole Hardman Jr. (KC),8.0,0.2%,2022,5
Darius Slayton (NYG),7.9,7.5%,2022,5
Devin Duvernay (JAC),7.8,0.2%,2022,5
Terry McLaurin (WAS),7.6,94.2%,2022,5
Braxton Berrios (MIA),7.4,0.2%,2022,5
Courtland Sutton (DEN),7.4,90.3%,2022,5
Nick Westbrook-Ikhine (TEN),7.2,27.4%,2022,5
Velus Jones Jr. (CAR),6.9,0.1%,2022,5
Shi Smith (FA),6.9,0.0%,2022,5
DJ Moore (CHI),6.7,94.8%,2022,5
Nico Collins (HOU),6.5,98.8%,2022,5
Chris Godwin (TB),6.3,36.7%,2022,5
Curtis Samuel (BUF),6.2,10.4%,2022,5
Jalen Reagor (LAC),6.1,0.0%,2022,5
Rondale Moore (ATL),6.1,0.8%,2022,5
Tyreek Hill (MIA),6.0,99.2%,2022,5
Diontae Johnson (FA),6.0,51.5%,2022,5
Michael Pittman Jr. (IND),5.9,81.0%,2022,5
Brandon Aiyuk (SF),5.8,53.8%,2022,5
Tutu Atwell (LAR),5.4,2.7%,2022,5
Jerry Jeudy (CLE),5.3,75.9%,2022,5
CeeDee Lamb (DAL),5.3,93.2%,2022,5
KhaDarel Hodge (ATL),5.3,0.1%,2022,5
Darnell Mooney (ATL),5.2,70.5%,2022,5
Donovan Peoples-Jones (FA),5.0,0.0%,2022,5
Ja'Marr Chase (CIN),5.0,99.7%,2022,5
Chase Claypool (FA),5.0,1.0%,2022,5
Jauan Jennings (SF),4.5,80.0%,2022,5
Kalif Raymond (DET),4.5,0.9%,2022,5
Michael Gallup (FA),4.4,0.0%,2022,5
Ben Skowronek (PIT),4.1,0.0%,2022,5
K.J. Osborn (WAS),4.1,1.5%,2022,5
Isaiah Hodgins (SF),4.1,0.0%,2022,5
Russell Gage (SF),4.0,0.0%,2022,5
Corey Davis (FA),3.8,0.0%,2022,5
Robert Woods (HOU),3.7,0.7%,2022,5
Scotty Miller (FA),3.5,0.1%,2022,5
Marcus Johnson (FA),3.5,0.0%,2022,5
Drake London (ATL),3.5,98.4%,2022,5
Mike Thomas (FA),3.3,0.0%,2022,5
JuJu Smith-Schuster (KC),3.3,3.8%,2022,5
Robbie Chosen (FA),3.2,0.0%,2022,5
Tyler Boyd (TEN),3.2,3.1%,2022,5
A.J. Brown (PHI),3.2,98.7%,2022,5
Terrace Marshall Jr. (LV),3.0,0.0%,2022,5
Romeo Doubs (GB),2.9,47.8%,2022,5
Garrett Wilson (NYJ),2.7,98.8%,2022,5
Adam Thielen (CAR),2.7,70.1%,2022,5
Hunter Renfrow (FA),2.5,0.0%,2022,5
Equanimeous St. Brown (FA),2.4,0.0%,2022,5
Joshua Palmer (LAC),2.4,14.8%,2022,5
Jaylen Waddle (MIA),2.3,83.9%,2022,5
Parris Campbell (PHI),2.2,0.0%,2022,5
Brandin Cooks (DAL),2.0,25.4%,2022,5
A.J. Green (FA),2.0,0.6%,2022,5
Cedrick Wilson Jr. (NO),2.0,0.7%,2022,5
Quez Watkins (ARI),1.9,0.0%,2022,5
Ashton Dulin (IND),1.8,0.0%,2022,5
Amon-Ra St. Brown (DET),1.8,99.7%,2022,5
Richie James Jr. (FA),1.6,0.0%,2022,5
Skyy Moore (KC),1.5,0.1%,2022,5
Zay Jones (ARI),1.2,1.8%,2022,5
David Sills (ATL),1.2,0.0%,2022,5
Allen Robinson II (DET),1.2,0.1%,2022,5
Christian Kirk (JAC),1.1,44.7%,2022,5
Miles Boykin (FA),1.1,0.0%,2022,5
Jeff Smith (FA),1.1,0.0%,2022,5
Elijah Moore (CLE),1.1,20.7%,2022,5
Justin Watson (KC),1.0,0.7%,2022,5
KJ Hamler (BUF),1.0,0.0%,2022,5
Tre'Quan Smith (FA),1.0,0.0%,2022,5
Bryan Edwards (FA),1.0,0.0%,2022,5
Montrell Washington (KC),0.9,0.0%,2022,5
DeAndre Carter (CHI),0.9,0.1%,2022,5
Tylan Wallace (BAL),0.8,0.1%,2022,5
Demarcus Robinson (LAR),0.8,26.0%,2022,5
Cam Sims (FA),0.7,0.0%,2022,5
Kyle Philips (PHI),0.7,0.0%,2022,5
Tyquan Thornton (KC),0.7,0.1%,2022,5
James Proche II (CLE),0.7,0.0%,2022,5
David Bell (CLE),0.6,0.0%,2022,5
Noah Brown (WAS),0.5,3.7%,2022,5
Marquez Callaway (TB),0.5,0.0%,2022,5
Trent Sherfield Sr. (MIN),0.5,0.1%,2022,5
Keith Kirkwood (FA),0.4,0.0%,2022,5
Jamal Agnew (FA),0.3,0.0%,2022,5
Brandon Powell (MIN),0.1,0.1%,2022,5
Dee Eskridge (MIA),0.0,0.0%,2022,5
Jaelon Darden (SEA),0.0,0.0%,2022,5
Dax Milne (CAR),0.0,0.0%,2022,5
Tom Kennedy (DET),0.0,0.0%,2022,5
Steven Sims Jr. (BAL),0.0,0.0%,2022,5
Tyrie Cleveland (FA),0.0,0.0%,2022,5
KaVontae Turpin (DAL),0.0,2.8%,2022,5
Stanley Morgan Jr. (TEN),0.0,0.0%,2022,5
Lil'Jordan Humphrey (DEN),0.0,1.0%,2022,5
Greg Dortch (ARI),0.0,6.2%,2022,5
Deonte Harty (BAL),0.0,0.1%,2022,5
Amari Rodgers (FA),0.0,0.0%,2022,5
Anthony Schwartz (MIA),0.0,0.0%,2022,5
Dan Chisena (CAR),0.0,0.0%,2022,5
Maurice Alexander (CHI),0.0,0.0%,2022,5
Britain Covey (PHI),0.0,0.1%,2022,5
Danny Gray (PHI),0.0,0.0%,2022,5
Keelan Cole Sr. (FA),0.0,0.0%,2022,5
Justin Hardee Sr. (TEN),0.0,0.0%,2022,5
Kendrick Bourne (NE),0.0,2.0%,2022,5
Tanner Gentry (FA),0.0,0.0%,2022,5
Mack Hollins (BUF),0.0,0.8%,2022,5
Trent Taylor (SF),0.0,0.0%,2022,5
Cody Hollister (FA),0.0,0.0%,2022,5
Malik Turner (FA),0.0,0.0%,2022,5
Dante Pettis (NO),0.0,0.1%,2022,5
River Cracraft (MIA),0.0,0.1%,2022,5
Ray-Ray McCloud III (ATL),0.0,19.3%,2022,5
Phillip Dorsett II (ATL),0.0,0.0%,2022,5
Damiere Byrd (FA),0.0,0.0%,2022,5
DeVante Parker (FA),0.0,0.0%,2022,5
Nelson Agholor (BAL),0.0,0.4%,2022,5
Chester Rogers (FA),0.0,0.0%,2022,5
Christian Watson (GB),-0.2,57.1%,2022,5
Ihmir Smith-Marsette (NYG),-0.5,0.1%,2022,5
Ja'Marr Chase (CIN),25.2,99.7%,2022,6
Stefon Diggs (HOU),20.8,37.5%,2022,6
Brandon Aiyuk (SF),20.3,53.8%,2022,6
Tyreek Hill (MIA),17.7,99.2%,2022,6
Tyquan Thornton (KC),17.3,0.1%,2022,6
JuJu Smith-Schuster (KC),17.3,3.8%,2022,6
Chase Claypool (FA),16.4,1.0%,2022,6
Dante Pettis (NO),14.4,0.1%,2022,6
Allen Lazard (NYJ),13.6,9.6%,2022,6
Michael Pittman Jr. (IND),13.4,81.0%,2022,6
Gabe Davis (JAC),13.4,20.5%,2022,6
A.J. Brown (PHI),12.7,98.7%,2022,6
Allen Robinson II (DET),12.3,0.1%,2022,6
Ben Skowronek (PIT),11.7,0.0%,2022,6
Parris Campbell (PHI),11.7,0.0%,2022,6
Adam Thielen (CAR),11.6,70.1%,2022,6
Alec Pierce (IND),10.9,21.8%,2022,6
Jaylen Waddle (MIA),10.9,83.9%,2022,6
Justin Jefferson (MIN),10.7,99.8%,2022,6
Amari Cooper (BUF),10.4,79.7%,2022,6
DeVonta Smith (PHI),10.4,92.6%,2022,6
Rashid Shaheed (NO),10.4,20.4%,2022,6
Tre'Quan Smith (FA),10.3,0.0%,2022,6
Mecole Hardman Jr. (KC),10.2,0.2%,2022,6
Cooper Kupp (LAR),9.7,96.0%,2022,6
Wan'Dale Robinson (NYG),9.7,36.9%,2022,6
Chris Godwin (TB),9.5,36.7%,2022,6
Deebo Samuel Sr. (SF),9.0,94.2%,2022,6
Braxton Berrios (MIA),8.6,0.2%,2022,6
CeeDee Lamb (DAL),7.7,93.2%,2022,6
Donovan Peoples-Jones (FA),7.6,0.0%,2022,6
Darnell Mooney (ATL),6.8,70.5%,2022,6
Christian Kirk (JAC),6.8,44.7%,2022,6
Marquise Brown (KC),6.8,33.2%,2022,6
Tyler Boyd (TEN),6.6,3.1%,2022,6
DeVante Parker (FA),6.4,0.0%,2022,6
Jakobi Meyers (LV),6.0,71.1%,2022,6
Olamide Zaccheaus (WAS),5.8,3.8%,2022,6
Joshua Palmer (LAC),5.7,14.8%,2022,6
Jerry Jeudy (CLE),5.4,75.9%,2022,6
Corey Davis (FA),5.2,0.0%,2022,6
Terry McLaurin (WAS),5.2,94.2%,2022,6
Rondale Moore (ATL),4.9,0.8%,2022,6
Tee Higgins (CIN),4.7,95.3%,2022,6
KJ Hamler (BUF),4.4,0.0%,2022,6
Zay Jones (ARI),4.2,1.8%,2022,6
Mike Evans (TB),4.2,98.6%,2022,6
Drake London (ATL),4.0,98.4%,2022,6
Brandon Powell (MIN),4.0,0.1%,2022,6
Dee Eskridge (MIA),3.9,0.0%,2022,6
Diontae Johnson (FA),3.6,51.5%,2022,6
Marquez Callaway (TB),3.6,0.0%,2022,6
DK Metcalf (SEA),3.4,96.7%,2022,6
George Pickens (PIT),2.8,93.4%,2022,6
Demarcus Robinson (LAR),2.7,26.0%,2022,6
Marquise Goodwin (FA),2.6,0.0%,2022,6
Marcus Johnson (FA),2.5,0.0%,2022,6
Skyy Moore (KC),2.4,0.1%,2022,6
Jamal Agnew (FA),2.4,0.0%,2022,6
Romeo Doubs (GB),2.1,47.8%,2022,6
Tim Jones (JAC),2.0,0.0%,2022,6
Russell Gage (SF),2.0,0.0%,2022,6
Richie James Jr. (FA),1.8,0.0%,2022,6
Michael Gallup (FA),1.8,0.0%,2022,6
Darius Slayton (NYG),1.8,7.5%,2022,6
Jauan Jennings (SF),1.8,80.0%,2022,6
K.J. Osborn (WAS),1.8,1.5%,2022,6
DeAndre Carter (CHI),1.7,0.1%,2022,6
Tyler Lockett (SEA),1.7,46.2%,2022,6
Mike Williams (PIT),1.7,13.6%,2022,6
Kendrick Bourne (NE),1.7,2.0%,2022,6
Michael Woods II (CLE),1.5,0.1%,2022,6
Courtland Sutton (DEN),1.4,90.3%,2022,6
Amari Rodgers (FA),1.4,0.0%,2022,6
Khalil Shakir (BUF),1.4,78.3%,2022,6
Keith Kirkwood (FA),1.4,0.0%,2022,6
Devin Duvernay (JAC),1.4,0.2%,2022,6
David Bell (CLE),1.3,0.0%,2022,6
Noah Brown (WAS),1.0,3.7%,2022,6
Isaiah McKenzie (FA),0.9,0.0%,2022,6
Tutu Atwell (LAR),0.9,2.7%,2022,6
David Sills (ATL),0.8,0.0%,2022,6
Kendall Hinton (FA),0.8,0.0%,2022,6
Randall Cobb (FA),0.8,0.0%,2022,6
Garrett Wilson (NYJ),0.8,98.8%,2022,6
A.J. Green (FA),0.7,0.6%,2022,6
DJ Moore (CHI),0.7,94.8%,2022,6
Trent Sherfield Sr. (MIN),0.6,0.1%,2022,6
Curtis Samuel (BUF),0.6,10.4%,2022,6
Cam Sims (FA),0.6,0.0%,2022,6
Dax Milne (CAR),0.5,0.0%,2022,6
Tylan Wallace (BAL),0.4,0.1%,2022,6
Michael Bandy (DEN),0.4,0.0%,2022,6
Equanimeous St. Brown (FA),0.1,0.0%,2022,6
Jaelon Darden (SEA),0.0,0.0%,2022,6
Gunner Olszewski (NYG),0.0,0.0%,2022,6
Jalen Reagor (LAC),0.0,0.0%,2022,6
Greg Dortch (ARI),0.0,6.2%,2022,6
KaVontae Turpin (DAL),0.0,2.8%,2022,6
Juwann Winfree (IND),0.0,0.0%,2022,6
Miles Boykin (FA),0.0,0.0%,2022,6
Quinton Bell (MIA),0.0,0.1%,2022,6
Scotty Miller (FA),0.0,0.1%,2022,6
Shi Smith (FA),0.0,0.0%,2022,6
Anthony Schwartz (MIA),0.0,0.0%,2022,6
Tyrie Cleveland (FA),0.0,0.0%,2022,6
Elijah Moore (CLE),0.0,20.7%,2022,6
Dyami Brown (WAS),0.0,0.7%,2022,6
Michael Strachan (WAS),0.0,0.0%,2022,6
Terrace Marshall Jr. (LV),0.0,0.0%,2022,6
